,show_title,id,type,description,release_year,age_certification,runtime,genres,production_countries,imdb_id,imdb_score,imdb_votes,Show_title
83,sins of our mother,tt21867596,series,"When Lori Vallow's kids vanished, the search for them unearthed a trail of suspicious deaths, a new husband who shared her doomsday views - and murder.",2022,TV-14,N/A,"Documentary, Crime, Mystery",United States,tt21867596,7.0,"3,072",sins of our mother
84,santo,tt14278524,series,"Santo is a drug dealer whose face has never been revealed. Two policemen who go after him, Millán and Cardona, radically opposed, will have to learn to collaborate to solve the case and keep their lives safe.",2022–,TV-MA,N/A,"Action, Crime, Drama",Spain,tt14278524,5.0,653,santo
85,high heat,tt17641200,series,"When clues to his brother's murder lead Poncho to a fire brigade, he joins it to investigate further and finds romance, family - and a serial killer.",2022–,TV-MA,N/A,Drama,Mexico,tt17641200,6.1,485,high heat
86,love in the villa,tt15463032,movie,"A young woman takes a trip to romantic Verona, Italy, after a breakup, only to find that the villa she reserved was double-booked, and she'll have to share her vacation with a cynical British man.",2022,TV-14,114 min,"Comedy, Romance",United States,tt15463032,5.3,"8,891",love in the villa
87,morbius,tt5108870,movie,"Biochemist Michael Morbius tries to cure himself of a rare blood disease, but he inadvertently infects himself with a form of vampirism instead.",2022,PG-13,104 min,"Action, Adventure, Horror",United States,tt5108870,5.2,"113,810",morbius
88,i came by,tt15083184,movie,Follows a young graffiti artist who discovers a shocking secret that would put him and the ones closest to him in danger.,2022,TV-MA,110 min,Thriller,United Kingdom,tt15083184,6.1,"22,119",i came by
89,despicable me 2,tt1690953,movie,"When Gru, the world's most super-bad turned super-dad has been recruited by a team of officials to stop lethal muscle and a host of Gru's own, He has to fight back with new gadgetry, cars, and more minion madness.",2013,PG,98 min,"Animation, Adventure, Comedy","United States, France, Japan",tt1690953,7.3,"400,620",despicable me 2
90,the invisible man,tt1051906,movie,"When Cecilia's abusive ex takes his own life and leaves her his fortune, she suspects his death was a hoax. As a series of coincidences turn lethal, Cecilia works to prove that she is being hunted by someone nobody can see.",2020,R,124 min,"Drama, Horror, Mystery","Australia, United States",tt1051906,7.1,"227,236",the invisible man
91,ek villain returns,tt11947158,movie,The story of two men in one sided love. The paths they choose to fulfill their love stories decide who the Hero is and who is the Villain.,2022,N/A,129 min,"Action, Romance, Thriller",India,tt11947158,4.5,"14,286",ek villain returns
92,jogi,tt21848358,movie,"Amid tension in 1980s India, three friends of different faiths unite in a noble yet dangerous effort to save hundreds in their town.",2022,TV-MA,116 min,"Drama, History, Thriller",India,tt21848358,7.2,"5,466",jogi
93,fenced in,tt21742248,movie,Walter moves from the city out to the countryside after a nervous breakdown. But his dream of a peaceful life is ruined when he meets his loud neighbors.,2022,TV-MA,110 min,Comedy,Brazil,tt21742248,4.3,484,fenced in
94,devil in ohio,tt15432016,series,"When a psychiatrist shelters a mysterious cult escapee, her world is turned upside down as the girl's arrival threatens to tear her own family apart.",2022,TV-MA,N/A,"Drama, Horror, Mystery","Canada, United States",tt15432016,5.9,"12,900",devil in ohio
95,the sandman,tt1751634,series,"Upon escaping after decades of imprisonment by a mortal wizard, Dream, the personification of dreams, sets about to reclaim his lost equipment.",2022–,TV-MA,1 min,"Drama, Fantasy, Horror","United Kingdom, United States",tt1751634,7.7,"124,331",the sandman
96,the lørenskog disappearance,tt15264452,series,"When a billionaire's wife vanishes, Norwegian police must deal with the frenzied press and deceitful informants to find the truth. Based on real events.",2021,TV-MA,N/A,"Documentary, Crime, Drama",Norway,tt15264452,6.1,"1,071",the lørenskog disappearance
97,white chicks,tt0381707,movie,Two disgraced FBI agents go way undercover in an effort to protect hotel heiresses the Wilson sisters from a kidnapping plot.,2004,PG-13,109 min,"Comedy, Crime",United States,tt0381707,5.7,"146,593",white chicks
98,hanna,tt0993842,movie,"A sixteen-year-old girl who was raised by her father to be the perfect assassin is dispatched on a mission across Europe, tracked by a ruthless intelligence agent and her operatives.",2011,PG-13,111 min,"Action, Adventure, Drama","United States, United Kingdom, Germany",tt0993842,6.8,"199,691",hanna
99,triple 9,tt1712261,movie,A gang of criminals and corrupt cops plan the murder of a police officer in order to pull off their biggest heist yet across town.,2016,R,115 min,"Action, Crime, Thriller",United States,tt1712261,6.3,"72,688",triple 9
100,labor day,tt1967545,movie,"Depressed single mom Adele and her son Henry offer a wounded, fearsome man a ride. As police search town for the escaped convict, the mother and son gradually learn his true story as their options become increasingly limited.",2013,PG-13,111 min,"Drama, Romance, Thriller",United States,tt1967545,6.9,"47,683",labor day
101,seoul vibe,tt13611770,movie,The drivers of the Sanggye-dong Supreme Team become mired in the slush fund investigation of a powerful person on the very day of the 1988 Seoul Olympics opening ceremony.,2022,TV-MA,138 min,"Action, Comedy, Crime",South Korea,tt13611770,5.5,"1,363",seoul vibe
102,hit: the first case,tt13130760,movie,"Vikram is a 32-year-old cop. While he is battling with his own traumatic past, the stakes get high when a girl called Preethi mysteriously disappears in Hyderabad and Vikram has to solve the case at any cost.",2022,N/A,132 min,"Action, Crime, Drama",India,tt13130760,6.9,"12,661",hit: the first case
103,"for better, for worse",tt0010137,movie,"Dr. Edward Meade and friend Richard Burton both love Sylvia Norcross. Both enlist in the military, but Meade stays back to care for deformed children. Sylvia thinks him a coward and marries Burton. After Burton is presumed dead, M...",1919,N/A,70 min,Drama,United States,tt0010137,5.9,740,"for better, for worse"
104,hollyblood,tt14210720,movie,"Javi, a perfectly ordinary teenager who doesn't suspect that his crush on Sara might be reciprocated. Through a string of misunderstandings, Sara comes to believe that Javi is in possession of supernatural powers.",2022,N/A,87 min,"Comedy, Fantasy, Horror",Spain,tt14210720,4.3,739,hollyblood
105,the festival of troubadours,tt15335282,movie,An unexpected reunion between a traveling musician and his son opens old wounds as the two set out on a long journey to a troubadour festival,2022,TV-14,102 min,Drama,Turkey,tt15335282,5.9,"1,987",the festival of troubadours
106,dated and related,tt15292942,series,Pairs of siblings see each other's love life up close and personal as they search for 'the one' together. Will they act as the ultimate wingman to help you find love? Or scupper your plans?,2022–,TV-MA,N/A,Reality-TV,United Kingdom,tt15292942,4.5,471,dated and related
107,partner track,tt15390524,series,"Centers on Ingrid Yun, an idealistic young lawyer, struggles with her moral compass and her passions as she fights to climb the partner track at an elite New York City law firm.",2022–,TV-MA,1 min,Drama,United States,tt15390524,6.8,"4,395",partner track
